year,month,day,hour,Greenhouse Solar Radiation (W/m2),Greenhouse Air Temperature (C)
2013,4,17,1,0,16.3925
2013,4,17,2,0,16.36
2013,4,17,3,0,15.2975
2013,4,17,4,0,14.5525
2013,4,17,5,0,13.7475
2013,4,17,6,0,12.9975
2013,4,17,7,0,14.6775
2013,4,17,8,52.7075,15.815
2013,4,17,9,257.25,21.965
2013,4,17,10,312.425,24.88
2013,4,17,11,357,24.55
2013,4,17,12,560.05,24.61
2013,4,17,13,616.325,24.42
2013,4,17,14,700.725,24.4625
2013,4,17,15,616.175,24.175
2013,4,17,16,519.55,23.875
2013,4,17,17,483.75,23.7925
2013,4,17,18,367.475,23.695
2013,4,17,19,224.75,24.3975
2013,4,17,20,70.56875,22.74
2013,4,17,21,0,17.5675
2013,4,17,22,0,15.445
2013,4,17,23,0,14.135
2013,4,18,0,0,13.1175
2013,4,18,1,0,12.065
2013,4,18,2,0,10.63
2013,4,18,3,0,9.8875
2013,4,18,4,0,9.345
2013,4,18,5,0,8.3925
2013,4,18,6,0,7.9925
2013,4,18,7,0.46825,7.43
2013,4,18,8,108.44,10.3125
2013,4,18,9,265.55,20.12
2013,4,18,10,387.7,24.9825
2013,4,18,11,514.25,24.7725
2013,4,18,12,592.725,24.535
2013,4,18,13,625.875,24.3725
2013,4,18,14,688.3,24.155
2013,4,18,15,679.025,24.1425
2013,4,18,16,589.85,23.9925
2013,4,18,17,514.325,23.7975
2013,4,18,18,378.2,24.2125
2013,4,18,19,233.7,24.4775
2013,4,18,20,77.83575,22.685
2013,4,18,21,0,17.5875
2013,4,18,22,0,15.705
2013,4,18,23,0,14.485
2013,4,19,0,0,13.9275
2013,4,19,1,0,12.185
2013,4,19,2,0,10.5725
2013,4,19,3,0,9.76
2013,4,19,4,0,9.015
2013,4,19,5,0,8.35
2013,4,19,6,0,7.5025
2013,4,19,7,0.62,6.795
2013,4,19,8,115.345,9.97525
2013,4,19,9,278.25,20.035
2013,4,19,10,395.475,23.89
2013,4,19,11,505.85,19.815
2013,4,19,12,582.5,21.745
2013,4,19,13,660.025,24.685
2013,4,19,14,692.2,24.51
2013,4,19,15,698,24.3875
2013,4,19,16,619.65,23.9825
2013,4,19,17,517.5,24.075
2013,4,19,18,375.275,24.025
2013,4,19,19,232.325,23.89
2013,4,19,20,79.76,23.7975
2013,4,19,21,0,19.7425
2013,4,19,22,0,17.305
2013,4,19,23,0,16.1925
